target,mode,train_persona,train_size,layer,eval_persona,cohen_d,auc,n_pos,n_neg
harm,cross_persona,sadist,3560,39,sadist,5.630933580813947,0.999408,250,250
harm,cross_persona,sadist,3560,39,villain,4.327410877346936,0.9988,250,250
harm,cross_persona,sadist,3560,39,pathological_liar,3.441529506023347,0.9863200000000001,250,250
harm,cross_persona,sadist,3560,39,Aura,2.7902369775790374,0.97024,250,250
harm,cross_persona,sadist,3560,39,mathematician,3.2287185075139644,0.983072,250,250
harm,cross_persona,sadist,3560,39,neutral_long,3.2936200917782723,0.9871840000000001,250,250
harm,cross_persona,sadist,3560,46,default,1.930880153664897,0.915536,250,250
harm,cross_persona,sadist,3560,46,helpful_assistant,1.9856182238611575,0.924512,250,250
harm,cross_persona,sadist,3560,46,sadist,5.373838022070306,0.994256,250,250
harm,cross_persona,sadist,3560,46,villain,3.632698788380573,0.989168,250,250
harm,cross_persona,sadist,3560,46,pathological_liar,2.850629349804513,0.975616,250,250
harm,cross_persona,sadist,3560,46,Aura,2.5127088298200526,0.9599039999999999,250,250
harm,cross_persona,sadist,3560,46,mathematician,2.827755624474309,0.970848,250,250
harm,cross_persona,sadist,3560,46,neutral_long,2.7399660535396424,0.9687840000000001,250,250
harm,cross_persona,sadist,3560,53,default,2.101846455010264,0.9314560000000001,250,250
harm,cross_persona,sadist,3560,53,helpful_assistant,2.5783024932199896,0.96528,250,250
harm,cross_persona,sadist,3560,53,sadist,5.632779618589593,0.9991680000000001,250,250
harm,cross_persona,sadist,3560,53,villain,4.016156433069117,0.991984,250,250
harm,cross_persona,sadist,3560,53,pathological_liar,3.2317424512015087,0.9865120000000001,250,250
harm,cross_persona,sadist,3560,53,Aura,2.4692301670734342,0.95488,250,250
harm,cross_persona,sadist,3560,53,mathematician,2.8848016735342514,0.974528,250,250
harm,cross_persona,sadist,3560,53,neutral_long,2.813020761770974,0.9774880000000001,250,250
harm,cross_persona,villain,3560,25,default,2.003948573756878,0.9320639999999999,250,250
harm,cross_persona,villain,3560,25,helpful_assistant,2.7040843177828626,0.97824,250,250
harm,cross_persona,villain,3560,25,sadist,4.645848609493507,0.998976,250,250
harm,cross_persona,villain,3560,25,villain,6.604655351423436,1.0,250,250
harm,cross_persona,villain,3560,25,pathological_liar,4.516857707573818,0.999616,250,250
harm,cross_persona,villain,3560,25,Aura,3.4208455432884195,0.9964160000000001,250,250
harm,cross_persona,villain,3560,25,mathematician,3.5045463746609067,0.994704,250,250
harm,cross_persona,villain,3560,25,neutral_long,3.399189774275495,0.9930079999999999,250,250
harm,cross_persona,villain,3560,32,default,2.2338437536379083,0.93616,250,250
harm,cross_persona,villain,3560,32,helpful_assistant,2.717955396435985,0.967056,250,250
harm,cross_persona,villain,3560,32,sadist,4.715606342862411,0.999744,250,250
harm,cross_persona,villain,3560,32,villain,6.710706216283588,1.0,250,250
harm,cross_persona,villain,3560,32,pathological_liar,4.032890621241222,0.991088,250,250
harm,cross_persona,villain,3560,32,Aura,3.1514185376247723,0.982064,250,250
harm,cross_persona,villain,3560,32,mathematician,3.3957318783624366,0.985872,250,250
harm,cross_persona,villain,3560,32,neutral_long,3.0635513928363096,0.977984,250,250
harm,cross_persona,villain,3560,39,default,2.4794685268551606,0.9575359999999999,250,250
harm,cross_persona,villain,3560,39,helpful_assistant,3.153959643949627,0.985664,250,250
