condition,checkpoint,prompt_type,probe_mean,probe_std,behav_mean,behav_std,n
qwen_delusion,34,yesno,-2.8179951667785645,1.5701251401595906,1.0,0.0,5
qwen_delusion,36,open,,,,,0
qwen_delusion,36,pair,-0.6936941941579183,0.09449973915329249,1.0,0.0,3
qwen_delusion,36,pair_synth,-0.6366052567958832,0.9716951246529584,0.95,0.15389675281277312,20
qwen_delusion,36,yesno,-3.0236624240875245,1.4536204641184338,1.0,0.0,5
qwen_delusion,38,open,,,,,0
qwen_delusion,38,pair,-1.079135576883952,0.2503029813900317,1.0,0.0,3
qwen_delusion,38,pair_synth,-0.9436943829059601,0.9618640264343032,0.9,0.20519567041703082,20
qwen_delusion,38,yesno,-3.214663362503052,1.5699255586442111,1.0,0.0,5
qwen_delusion,40,open,,,,,0
qwen_delusion,40,pair,-0.6558921734491984,0.1965553884746446,1.0,0.0,3
qwen_delusion,40,pair_synth,-0.5926151812076569,0.8495637090600351,0.925,0.18317377426626164,20
qwen_delusion,40,yesno,-3.339290475845337,1.2720996328114769,1.0,0.0,5
qwen_delusion,42,open,,,,,0
